ppa_id,payer_id,product_id,access_status,coverage_type,formulary_tier,start_date,end_date,price_paid,currency
PPA046,PY008,P008,Restricted,Full,Tier 2,2026-01-01,2026-12-31,224,USD
PPA047,PY008,P007,Not Covered,Conditional,Tier 1,2026-01-01,2026-12-31,415,USD
PPA048,PY008,P015,Not Covered,Conditional,Tier 4,2026-01-01,2026-12-31,367,USD
PPA049,PY008,P012,Not Covered,Full,Tier 1,2026-01-01,2026-12-31,469,USD
PPA050,PY008,P010,Not Covered,Partial,Tier 3,2026-01-01,2026-12-31,39,USD
PPA051,PY008,P014,Covered,None,Tier 3,2026-01-01,2026-12-31,393,USD
PPA052,PY008,P013,Not Covered,None,Tier 1,2026-01-01,2026-12-31,217,USD
PPA053,PY008,P004,Restricted,Conditional,Tier 1,2026-01-01,2026-12-31,382,USD
PPA054,PY009,P001,Not Covered,Conditional,Tier 1,2026-01-01,2026-12-31,388,USD
PPA055,PY009,P017,Not Covered,Conditional,Tier 4,2026-01-01,2026-12-31,187,USD
PPA056,PY009,P018,Pending,Conditional,Tier 2,2026-01-01,2026-12-31,118,USD
PPA057,PY009,P007,Pending,None,Tier 2,2026-01-01,2026-12-31,335,USD
PPA058,PY009,P012,Not Covered,None,Tier 1,2026-01-01,2026-12-31,175,USD
PPA059,PY009,P019,Not Covered,Partial,Tier 4,2026-01-01,2026-12-31,422,USD
PPA060,PY009,P002,Not Covered,None,Tier 4,2026-01-01,2026-12-31,246,USD
PPA061,PY009,P011,Restricted,None,Tier 2,2026-01-01,2026-12-31,357,USD
PPA062,PY010,P010,Not Covered,Partial,Tier 2,2026-01-01,2026-12-31,95,USD
PPA063,PY010,P017,Covered,Full,Tier 2,2026-01-01,2026-12-31,263,USD
PPA064,PY010,P011,Covered,None,Tier 4,2026-01-01,2026-12-31,473,USD
PPA065,PY010,P003,Restricted,None,Tier 4,2026-01-01,2026-12-31,224,USD
PPA066,PY010,P008,Restricted,Partial,Tier 1,2026-01-01,2026-12-31,477,USD
PPA067,PY011,P014,Covered,Partial,Tier 1,2026-01-01,2026-12-31,253,USD
PPA068,PY011,P008,Restricted,None,Tier 3,2026-01-01,2026-12-31,406,USD
PPA069,PY011,P006,Pending,None,Tier 4,2026-01-01,2026-12-31,479,USD
PPA070,PY011,P017,Restricted,None,Tier 4,2026-01-01,2026-12-31,152,USD
PPA071,PY011,P015,Restricted,Conditional,Tier 4,2026-01-01,2026-12-31,340,USD
PPA072,PY012,P009,Not Covered,Conditional,Tier 1,2026-01-01,2026-12-31,90,USD
PPA073,PY012,P015,Restricted,Partial,Tier 4,2026-01-01,2026-12-31,375,USD
PPA074,PY012,P003,Restricted,Partial,Tier 1,2026-01-01,2026-12-31,232,USD
PPA075,PY012,P010,Pending,Conditional,Tier 4,2026-01-01,2026-12-31,232,USD
PPA076,PY012,P008,Covered,Partial,Tier 4,2026-01-01,2026-12-31,219,USD
PPA077,PY012,P005,Covered,None,Tier 4,2026-01-01,2026-12-31,23,USD
PPA078,PY013,P010,Pending,None,Tier 1,2026-01-01,2026-12-31,219,USD
PPA079,PY013,P013,Not Covered,None,Tier 2,2026-01-01,2026-12-31,450,USD
PPA080,PY013,P014,Pending,Partial,Tier 1,2026-01-01,2026-12-31,484,USD
PPA081,PY013,P008,Pending,Full,Tier 1,2026-01-01,2026-12-31,349,USD
PPA082,PY013,P016,Pending,Partial,Tier 4,2026-01-01,2026-12-31,113,USD
PPA083,PY013,P004,Covered,Conditional,Tier 4,2026-01-01,2026-12-31,187,USD
PPA084,PY013,P005,Restricted,None,Tier 3,2026-01-01,2026-12-31,192,USD
PPA085,PY014,P009,Covered,Conditional,Tier 2,2026-01-01,2026-12-31,352,USD
PPA086,PY014,P014,Covered,Full,Tier 1,2026-01-01,2026-12-31,146,USD
PPA087,PY014,P020,Restricted,Full,Tier 2,2026-01-01,2026-12-31,142,USD
PPA088,PY014,P003,Restricted,None,Tier 1,2026-01-01,2026-12-31,308,USD
PPA089,PY014,P016,Restricted,None,Tier 3,2026-01-01,2026-12-31,412,USD
PPA090,PY014,P001,Not Covered,Partial,Tier 1,2026-01-01,2026-12-31,418,USD
PPA091,PY014,P012,Restricted,Conditional,Tier 1,2026-01-01,2026-12-31,316,USD
PPA092,PY014,P018,Covered,Conditional,Tier 4,2026-01-01,2026-12-31,223,USD
PPA093,PY015,P007,Covered,Conditional,Tier 4,2026-01-01,2026-12-31,358,USD
PPA094,PY015,P003,Not Covered,Full,Tier 3,2026-01-01,2026-12-31,26,USD
PPA095,PY015,P008,Pending,None,Tier 1,2026-01-01,2026-12-31,241,USD
PPA096,PY015,P004,Not Covered,None,Tier 2,2026-01-01,2026-12-31,242,USD
PPA097,PY015,P010,Restricted,Conditional,Tier 4,2026-01-01,2026-12-31,258,USD
PPA098,PY015,P014,Pending,Conditional,Tier 3,2026-01-01,2026-12-31,456,USD
PPA099,PY015,P011,Restricted,Full,Tier 3,2026-01-01,2026-12-31,471,USD
PPA100,PY015,P016,Pending,Partial,Tier 4,2026-01-01,2026-12-31,311,USD
PPA101,PY015,P002,Pending,Conditional,Tier 1,2026-01-01,2026-12-31,273,USD
PPA102,PY015,P013,Not Covered,Partial,Tier 4,2026-01-01,2026-12-31,128,USD
