market_access_id,ppa_id,date_id,region_id,access_level,reimbursement_status,patient_copay,restrictions,volume
MA0065,PPA007,D333,R003,Medium,Partially Reimbursed,61,Step Therapy,4683
MA0066,PPA007,D210,R006,High,Partially Reimbursed,23,None,3968
MA0067,PPA007,D060,R004,Medium,Reimbursed,73,Prior Authorization,5976
MA0068,PPA007,D072,R004,High,Reimbursed,22,Quantity Limit,7550
MA0069,PPA007,D024,R010,High,Partially Reimbursed,50,None,449
MA0070,PPA007,D020,R007,High,Partially Reimbursed,25,Quantity Limit,9350
MA0071,PPA007,D156,R006,High,Reimbursed,45,None,3638
MA0072,PPA007,D253,R006,High,Reimbursed,19,Step Therapy,9864
MA0073,PPA007,D050,R008,High,Reimbursed,19,Quantity Limit,8950
MA0074,PPA008,D090,R004,High,Reimbursed,24,Quantity Limit,810
MA0075,PPA008,D057,R002,Low,Not Reimbursed,92,Step Therapy,7604
MA0076,PPA008,D339,R001,Low,Not Reimbursed,53,Quantity Limit,6680
MA0077,PPA008,D014,R008,Medium,Partially Reimbursed,61,Step Therapy,7367
MA0078,PPA008,D068,R006,High,Partially Reimbursed,30,Prior Authorization,1176
MA0079,PPA008,D008,R008,High,Reimbursed,50,None,5427
MA0080,PPA008,D184,R005,Medium,Not Reimbursed,63,Prior Authorization,8382
MA0081,PPA008,D122,R008,Low,Not Reimbursed,100,Step Therapy,9133
MA0082,PPA008,D302,R006,Low,Not Reimbursed,77,Step Therapy,3843
MA0083,PPA009,D174,R007,Low,Partially Reimbursed,72,Quantity Limit,7029
MA0084,PPA009,D233,R005,Low,Reimbursed,68,Step Therapy,5861
MA0085,PPA009,D205,R001,High,Reimbursed,23,None,8000
MA0086,PPA009,D213,R001,High,Partially Reimbursed,32,Step Therapy,6122
MA0087,PPA009,D049,R005,High,Partially Reimbursed,46,None,7130
MA0088,PPA009,D161,R008,Low,Not Reimbursed,89,Step Therapy,9221
MA0089,PPA009,D219,R004,High,Partially Reimbursed,27,None,4577
MA0090,PPA009,D341,R002,Low,Not Reimbursed,71,Prior Authorization,3072
MA0091,PPA009,D131,R001,High,Reimbursed,35,None,602
MA0092,PPA009,D192,R010,High,Partially Reimbursed,23,None,7532
MA0093,PPA009,D079,R006,Medium,Reimbursed,49,Step Therapy,9399
MA0094,PPA010,D044,R005,High,Partially Reimbursed,26,None,2065
MA0095,PPA010,D027,R003,High,Reimbursed,37,None,6329
MA0096,PPA010,D080,R008,Low,Not Reimbursed,82,Step Therapy,5902
MA0097,PPA010,D081,R002,High,Reimbursed,12,None,7632
MA0098,PPA010,D317,R005,High,Partially Reimbursed,46,None,6726
MA0099,PPA010,D026,R003,Low,Not Reimbursed,68,Prior Authorization,441
MA0100,PPA010,D346,R007,Medium,Reimbursed,69,Step Therapy,6028
MA0101,PPA010,D042,R005,High,Reimbursed,16,None,9748
MA0102,PPA010,D140,R007,Medium,Partially Reimbursed,55,Quantity Limit,5662
MA0103,PPA010,D227,R001,High,Reimbursed,20,None,1968
MA0104,PPA010,D339,R004,Low,Not Reimbursed,99,Prior Authorization,2519
MA0105,PPA010,D218,R006,High,Reimbursed,26,None,9969
MA0106,PPA010,D249,R001,High,Partially Reimbursed,14,None,8195
MA0107,PPA010,D311,R004,Medium,Partially Reimbursed,67,Step Therapy,9348
MA0108,PPA011,D326,R004,Low,Not Reimbursed,70,Step Therapy,8314
MA0109,PPA011,D320,R001,High,Not Reimbursed,38,None,5726
MA0110,PPA011,D166,R005,Low,Reimbursed,91,Prior Authorization,4159
MA0111,PPA011,D322,R001,Low,Not Reimbursed,78,Step Therapy,2700
MA0112,PPA011,D162,R004,Medium,Partially Reimbursed,48,Prior Authorization,5643
MA0113,PPA011,D078,R003,Low,Not Reimbursed,100,Step Therapy,5582
MA0114,PPA011,D226,R007,High,Reimbursed,45,Prior Authorization,4755
MA0115,PPA011,D035,R010,Medium,Partially Reimbursed,72,Quantity Limit,9974
MA0116,PPA011,D241,R001,High,Reimbursed,47,Prior Authorization,5831
MA0117,PPA011,D227,R006,Medium,Not Reimbursed,74,Step Therapy,2212
MA0118,PPA011,D324,R004,Low,Not Reimbursed,55,Prior Authorization,6271
MA0119,PPA011,D156,R006,Low,Not Reimbursed,58,Step Therapy,8724
MA0120,PPA011,D141,R010,High,Partially Reimbursed,37,None,398
MA0121,PPA011,D303,R008,Medium,Partially Reimbursed,43,Prior Authorization,8067
MA0122,PPA011,D029,R001,High,Reimbursed,18,None,4946
MA0123,PPA012,D260,R009,Low,Not Reimbursed,60,Step Therapy,815
MA0124,PPA012,D277,R007,Medium,Partially Reimbursed,45,Quantity Limit,4768
MA0125,PPA012,D270,R006,Low,Not Reimbursed,64,Step Therapy,5170
MA0126,PPA012,D020,R002,Medium,Not Reimbursed,42,Prior Authorization,9445
MA0127,PPA012,D339,R002,Medium,Partially Reimbursed,48,Quantity Limit,8339
MA0128,PPA012,D173,R007,Low,Not Reimbursed,60,Quantity Limit,2367
MA0129,PPA013,D027,R003,Medium,Not Reimbursed,56,None,8324
MA0130,PPA013,D329,R008,Medium,Reimbursed,35,Prior Authorization,561
MA0131,PPA013,D247,R003,Medium,Not Reimbursed,75,Step Therapy,2492
MA0132,PPA013,D191,R010,High,Reimbursed,40,Prior Authorization,2373
MA0133,PPA013,D284,R002,Low,Not Reimbursed,89,None,1398
MA0134,PPA013,D053,R005,High,Reimbursed,19,None,8747
MA0135,PPA013,D365,R010,Medium,Reimbursed,48,Prior Authorization,2096
MA0136,PPA013,D265,R003,High,Reimbursed,50,Step Therapy,7589
MA0137,PPA013,D064,R005,High,Reimbursed,41,None,369
MA0138,PPA014,D264,R006,Low,Not Reimbursed,99,Step Therapy,5547
MA0139,PPA014,D295,R004,High,Reimbursed,44,None,2968
MA0140,PPA014,D124,R010,Low,Not Reimbursed,94,Step Therapy,3086
MA0141,PPA014,D074,R006,High,Reimbursed,39,None,3402
MA0142,PPA014,D150,R008,High,Partially Reimbursed,12,None,5180
MA0143,PPA014,D220,R006,Low,Partially Reimbursed,84,Step Therapy,699
MA0144,PPA014,D001,R001,Low,Partially Reimbursed,72,Quantity Limit,883
MA0145,PPA014,D315,R009,Low,Partially Reimbursed,57,Step Therapy,7259
MA0146,PPA014,D181,R001,Medium,Partially Reimbursed,54,Prior Authorization,3160
MA0147,PPA014,D293,R004,Medium,Partially Reimbursed,53,Quantity Limit,8607
MA0148,PPA014,D214,R004,Medium,Not Reimbursed,57,None,9970
MA0149,PPA014,D096,R008,High,Reimbursed,30,None,5472
MA0150,PPA014,D341,R004,Low,Partially Reimbursed,78,Step Therapy,7081
MA0151,PPA014,D343,R001,High,Partially Reimbursed,32,None,5876
MA0152,PPA014,D044,R003,Low,Not Reimbursed,67,Step Therapy,1039
MA0153,PPA015,D344,R002,High,Partially Reimbursed,33,None,9393
MA0154,PPA015,D327,R001,High,Partially Reimbursed,38,Quantity Limit,6195
MA0155,PPA015,D208,R009,Medium,Partially Reimbursed,66,None,6112
MA0156,PPA015,D187,R007,Medium,Partially Reimbursed,47,Prior Authorization,1958
MA0157,PPA015,D263,R005,High,Partially Reimbursed,41,None,9302
MA0158,PPA015,D348,R002,High,Reimbursed,26,Prior Authorization,3615
MA0159,PPA016,D147,R004,High,Reimbursed,46,None,9138
MA0160,PPA016,D356,R001,High,Partially Reimbursed,15,None,6623
MA0161,PPA016,D252,R006,Low,Not Reimbursed,83,Prior Authorization,6808
MA0162,PPA016,D103,R009,Low,Reimbursed,70,Step Therapy,7472
MA0163,PPA016,D063,R009,Medium,Partially Reimbursed,52,None,9132
MA0164,PPA016,D070,R008,Low,Not Reimbursed,99,Quantity Limit,7188
MA0165,PPA016,D038,R010,Low,Not Reimbursed,53,Quantity Limit,8588
MA0166,PPA016,D232,R007,High,Reimbursed,20,None,3794
MA0167,PPA016,D089,R008,Medium,Not Reimbursed,63,Quantity Limit,1392
MA0168,PPA016,D228,R006,Medium,Reimbursed,65,Prior Authorization,5061
MA0169,PPA016,D045,R002,Low,Not Reimbursed,82,Step Therapy,9796
MA0170,PPA016,D350,R003,Low,Partially Reimbursed,92,Step Therapy,5631
MA0171,PPA016,D164,R002,Low,Reimbursed,51,Prior Authorization,9549
MA0172,PPA016,D342,R008,Medium,Partially Reimbursed,66,Step Therapy,596
MA0173,PPA017,D322,R007,Low,Not Reimbursed,70,Prior Authorization,2107
MA0174,PPA017,D280,R002,Medium,Partially Reimbursed,39,None,4854
MA0175,PPA017,D149,R005,Medium,Not Reimbursed,56,Prior Authorization,2716
MA0176,PPA017,D329,R005,Medium,Not Reimbursed,50,None,2710
MA0177,PPA017,D155,R004,Medium,Not Reimbursed,59,Step Therapy,5155
MA0178,PPA017,D248,R002,Medium,Reimbursed,55,Step Therapy,4044
MA0179,PPA017,D126,R009,High,Reimbursed,13,None,8208
MA0180,PPA017,D351,R004,Low,Not Reimbursed,91,Step Therapy,4781
MA0181,PPA017,D208,R010,Low,Reimbursed,56,Prior Authorization,4433
MA0182,PPA017,D153,R004,Low,Partially Reimbursed,75,Prior Authorization,6663
MA0183,PPA017,D233,R004,High,Reimbursed,22,None,4828
MA0184,PPA017,D038,R008,High,Reimbursed,38,Step Therapy,4682
MA0185,PPA018,D349,R005,Low,Partially Reimbursed,82,Step Therapy,9322
MA0186,PPA018,D313,R001,Medium,Partially Reimbursed,31,Prior Authorization,1895
MA0187,PPA018,D061,R001,Medium,Partially Reimbursed,74,Step Therapy,9879
MA0188,PPA018,D066,R008,Medium,Reimbursed,71,Quantity Limit,9577
MA0189,PPA018,D050,R009,Low,Partially Reimbursed,53,Step Therapy,2893
MA0190,PPA018,D202,R006,Low,Not Reimbursed,89,Step Therapy,6329
MA0191,PPA018,D192,R002,High,Partially Reimbursed,25,None,1900
MA0192,PPA018,D174,R009,High,Reimbursed,30,None,6865
MA0193,PPA018,D286,R002,Low,Partially Reimbursed,82,Step Therapy,7826
MA0194,PPA018,D188,R010,Low,Not Reimbursed,95,Prior Authorization,3497
MA0195,PPA018,D074,R004,Low,Partially Reimbursed,92,Step Therapy,6273
MA0196,PPA018,D102,R004,Medium,Not Reimbursed,59,Quantity Limit,5708
MA0197,PPA018,D309,R007,Low,Partially Reimbursed,99,Quantity Limit,4431
MA0198,PPA018,D261,R009,Low,Not Reimbursed,65,Prior Authorization,4990
MA0199,PPA019,D153,R004,Medium,Not Reimbursed,39,Prior Authorization,4812
MA0200,PPA019,D148,R010,Low,Reimbursed,78,Step Therapy,7949
MA0201,PPA019,D361,R008,High,Reimbursed,44,None,9308
MA0202,PPA019,D107,R003,Low,Partially Reimbursed,56,Step Therapy,9714
MA0203,PPA019,D354,R002,High,Reimbursed,43,None,3914
MA0204,PPA019,D251,R007,High,Reimbursed,31,Prior Authorization,1747
MA0205,PPA019,D163,R004,Low,Not Reimbursed,50,Quantity Limit,2687
MA0206,PPA019,D246,R010,Medium,Partially Reimbursed,60,Step Therapy,3367
MA0207,PPA020,D165,R008,Medium,Reimbursed,48,Quantity Limit,251
MA0208,PPA020,D147,R009,Medium,Partially Reimbursed,36,Quantity Limit,5589
MA0209,PPA020,D331,R001,Medium,Partially Reimbursed,71,Step Therapy,8192
MA0210,PPA020,D031,R010,High,Partially Reimbursed,39,None,1945
MA0211,PPA020,D046,R005,Medium,Reimbursed,59,Step Therapy,3150
MA0212,PPA020,D334,R009,High,Partially Reimbursed,28,None,3264
MA0213,PPA020,D294,R010,High,Partially Reimbursed,50,Step Therapy,7107
MA0214,PPA020,D119,R001,Low,Partially Reimbursed,75,Step Therapy,3127
MA0215,PPA020,D274,R009,High,Reimbursed,25,None,6384
MA0216,PPA021,D229,R007,Low,Not Reimbursed,94,Prior Authorization,4933
MA0217,PPA021,D137,R007,Medium,Partially Reimbursed,44,Quantity Limit,7934
MA0218,PPA021,D169,R001,High,Reimbursed,48,None,9098
MA0219,PPA021,D155,R002,Medium,Partially Reimbursed,72,Quantity Limit,4154
MA0220,PPA021,D299,R004,Low,Not Reimbursed,100,Prior Authorization,7419
MA0221,PPA021,D294,R005,Low,Not Reimbursed,54,Quantity Limit,1938
MA0222,PPA021,D006,R006,High,Partially Reimbursed,42,None,8892
MA0223,PPA021,D134,R009,High,Reimbursed,43,None,3465
MA0224,PPA022,D251,R007,Medium,Partially Reimbursed,38,Quantity Limit,6987
MA0225,PPA022,D047,R004,Medium,Not Reimbursed,54,Step Therapy,6284
MA0226,PPA022,D262,R001,Medium,Reimbursed,72,Quantity Limit,2278
MA0227,PPA022,D229,R003,Low,Not Reimbursed,57,Prior Authorization,8902
MA0228,PPA022,D029,R001,Medium,Partially Reimbursed,44,Quantity Limit,472
MA0229,PPA022,D233,R003,Medium,Partially Reimbursed,64,Step Therapy,6314
MA0230,PPA022,D068,R001,High,Reimbursed,32,None,3188
MA0231,PPA022,D263,R005,Low,Not Reimbursed,52,Quantity Limit,6968
MA0232,PPA022,D213,R008,Low,Not Reimbursed,51,Prior Authorization,1202
MA0233,PPA022,D234,R006,High,Reimbursed,38,None,897
MA0234,PPA022,D289,R001,High,Partially Reimbursed,35,None,8943
MA0235,PPA022,D030,R009,High,Partially Reimbursed,13,None,4839
MA0236,PPA022,D287,R010,High,Partially Reimbursed,46,None,9896
MA0237,PPA022,D237,R005,Low,Not Reimbursed,65,Prior Authorization,2447
MA0238,PPA023,D267,R010,Low,Not Reimbursed,76,Step Therapy,2296
MA0239,PPA023,D114,R010,Medium,Reimbursed,43,Prior Authorization,1395
MA0240,PPA023,D212,R007,Medium,Not Reimbursed,35,Step Therapy,3220
MA0241,PPA023,D154,R008,High,Reimbursed,48,Prior Authorization,1292
MA0242,PPA023,D141,R004,High,Partially Reimbursed,47,Prior Authorization,9256
MA0243,PPA023,D032,R005,High,Reimbursed,31,None,351
MA0244,PPA023,D286,R002,High,Not Reimbursed,17,Prior Authorization,7946
MA0245,PPA023,D303,R004,High,Partially Reimbursed,23,None,4021
MA0246,PPA023,D090,R008,Low,Partially Reimbursed,68,Prior Authorization,8843
MA0247,PPA023,D321,R005,Low,Partially Reimbursed,66,Prior Authorization,8247
MA0248,PPA023,D348,R009,Medium,Reimbursed,60,Quantity Limit,5346
MA0249,PPA023,D219,R004,High,Reimbursed,36,None,3725
MA0250,PPA023,D285,R008,Low,Partially Reimbursed,66,Step Therapy,9668
MA0251,PPA023,D254,R009,Low,Not Reimbursed,68,Prior Authorization,5504
MA0252,PPA023,D025,R010,High,Reimbursed,25,None,5630
MA0253,PPA024,D251,R010,Medium,Reimbursed,70,Prior Authorization,2574
MA0254,PPA024,D329,R006,High,Reimbursed,39,None,8016
MA0255,PPA024,D252,R007,Low,Not Reimbursed,50,Step Therapy,6839
MA0256,PPA024,D236,R001,High,Reimbursed,27,None,4797
MA0257,PPA024,D087,R001,High,Reimbursed,37,Step Therapy,3037
MA0258,PPA024,D181,R009,High,Not Reimbursed,43,None,3244
MA0259,PPA024,D072,R010,Low,Not Reimbursed,72,Prior Authorization,6602
MA0260,PPA024,D280,R007,High,Reimbursed,35,None,4084
MA0261,PPA024,D095,R008,Low,Partially Reimbursed,93,Quantity Limit,1420
MA0262,PPA025,D333,R009,Low,Not Reimbursed,52,Prior Authorization,5252
MA0263,PPA025,D017,R007,High,Not Reimbursed,47,None,6625
MA0264,PPA025,D048,R004,High,Reimbursed,46,None,6475
MA0265,PPA025,D208,R010,Low,Not Reimbursed,71,Prior Authorization,2392
MA0266,PPA025,D195,R010,Low,Not Reimbursed,82,Step Therapy,5766
MA0267,PPA025,D194,R009,High,Reimbursed,24,Step Therapy,5680
MA0268,PPA025,D283,R010,Low,Not Reimbursed,88,Prior Authorization,5447
MA0269,PPA025,D244,R003,High,Partially Reimbursed,38,None,5929
MA0270,PPA025,D029,R010,Low,Not Reimbursed,77,Prior Authorization,9698
MA0271,PPA025,D327,R007,Low,Partially Reimbursed,99,Step Therapy,4137
MA0272,PPA025,D005,R006,Low,Reimbursed,67,Prior Authorization,2627
MA0273,PPA025,D360,R003,Low,Partially Reimbursed,73,Prior Authorization,185
MA0274,PPA025,D088,R010,Medium,Partially Reimbursed,47,None,1530
MA0275,PPA025,D043,R007,High,Reimbursed,45,None,6785
MA0276,PPA025,D256,R003,High,Reimbursed,32,None,9880
MA0277,PPA026,D167,R002,High,Reimbursed,35,None,6324
MA0278,PPA026,D198,R003,Medium,Partially Reimbursed,57,Quantity Limit,9838
MA0279,PPA026,D007,R003,High,Reimbursed,48,Quantity Limit,3390
MA0280,PPA026,D150,R002,Medium,Partially Reimbursed,55,Quantity Limit,4875
MA0281,PPA026,D212,R002,Low,Not Reimbursed,81,Quantity Limit,4071
MA0282,PPA026,D199,R003,Medium,Partially Reimbursed,55,Prior Authorization,9338
MA0283,PPA026,D044,R003,High,Reimbursed,44,None,9112
MA0284,PPA026,D287,R008,High,Not Reimbursed,39,Quantity Limit,3534
MA0285,PPA026,D125,R004,Medium,Partially Reimbursed,74,None,6803
MA0286,PPA026,D293,R010,Low,Not Reimbursed,90,Prior Authorization,4239
MA0287,PPA026,D267,R008,Low,Partially Reimbursed,77,Step Therapy,1311
MA0288,PPA026,D087,R005,Medium,Not Reimbursed,60,Step Therapy,8855
MA0289,PPA026,D351,R007,Low,Not Reimbursed,94,Prior Authorization,702
MA0290,PPA026,D195,R005,Medium,Partially Reimbursed,64,Step Therapy,1492
MA0291,PPA027,D128,R007,Medium,Reimbursed,36,Prior Authorization,8466
MA0292,PPA027,D337,R006,Low,Not Reimbursed,87,Step Therapy,3721
MA0293,PPA027,D341,R007,Medium,Partially Reimbursed,59,Quantity Limit,9743
MA0294,PPA027,D182,R007,Low,Not Reimbursed,72,Quantity Limit,8009
MA0295,PPA027,D086,R010,High,Reimbursed,15,None,2421
MA0296,PPA027,D332,R004,Medium,Partially Reimbursed,59,Quantity Limit,8637
MA0297,PPA028,D179,R001,Low,Partially Reimbursed,90,Step Therapy,6581
MA0298,PPA028,D244,R004,High,Partially Reimbursed,22,None,7137
MA0299,PPA028,D050,R002,Medium,Reimbursed,43,Prior Authorization,1125
MA0300,PPA028,D225,R009,Low,Partially Reimbursed,84,Prior Authorization,5440
MA0301,PPA028,D357,R010,High,Reimbursed,26,Prior Authorization,8119
MA0302,PPA028,D232,R008,Low,Not Reimbursed,70,Step Therapy,6531
MA0303,PPA028,D164,R006,Low,Partially Reimbursed,72,Quantity Limit,2926
MA0304,PPA028,D035,R006,Low,Not Reimbursed,69,Quantity Limit,9769
MA0305,PPA028,D154,R004,High,Partially Reimbursed,30,None,5103
MA0306,PPA028,D023,R005,High,Reimbursed,19,None,6952
MA0307,PPA028,D364,R005,Low,Partially Reimbursed,74,Prior Authorization,8073
MA0308,PPA028,D059,R008,Low,Not Reimbursed,91,Quantity Limit,2938
MA0309,PPA029,D086,R002,High,Reimbursed,20,Step Therapy,9367
MA0310,PPA029,D251,R004,Low,Not Reimbursed,81,Step Therapy,1954
MA0311,PPA029,D148,R006,Low,Partially Reimbursed,99,Step Therapy,6110
MA0312,PPA029,D072,R007,Low,Not Reimbursed,52,Step Therapy,7331
MA0313,PPA029,D096,R005,Low,Partially Reimbursed,77,Prior Authorization,4155
MA0314,PPA029,D162,R005,Medium,Not Reimbursed,32,Step Therapy,5811
MA0315,PPA029,D231,R008,High,Reimbursed,17,Step Therapy,3982
MA0316,PPA029,D318,R005,High,Partially Reimbursed,47,Prior Authorization,7115
MA0317,PPA029,D028,R002,High,Partially Reimbursed,23,Step Therapy,1072
MA0318,PPA029,D184,R006,Low,Partially Reimbursed,67,Step Therapy,2858
MA0319,PPA029,D005,R008,Medium,Not Reimbursed,48,Prior Authorization,4480
MA0320,PPA029,D249,R003,Low,Not Reimbursed,93,Quantity Limit,2321
MA0321,PPA029,D070,R001,Medium,Not Reimbursed,47,Quantity Limit,2178
MA0322,PPA030,D128,R005,High,Reimbursed,27,Prior Authorization,6146
MA0323,PPA030,D075,R006,Medium,Not Reimbursed,50,Step Therapy,1626
MA0324,PPA030,D365,R003,Low,Not Reimbursed,90,Step Therapy,5969
MA0325,PPA030,D165,R005,High,Partially Reimbursed,35,None,7139
MA0326,PPA030,D127,R005,High,Reimbursed,30,Step Therapy,5633
MA0327,PPA030,D347,R007,Low,Not Reimbursed,86,Quantity Limit,5731
MA0328,PPA030,D202,R009,Low,Not Reimbursed,52,Prior Authorization,7629
MA0329,PPA031,D064,R010,Medium,Reimbursed,47,None,6005
MA0330,PPA031,D081,R005,Medium,Reimbursed,72,Quantity Limit,2811
MA0331,PPA031,D226,R010,High,Reimbursed,29,Prior Authorization,3936
MA0332,PPA031,D234,R010,Medium,Partially Reimbursed,75,None,3596
MA0333,PPA031,D001,R009,Medium,Reimbursed,67,Prior Authorization,7391
MA0334,PPA032,D005,R007,High,Reimbursed,29,None,2281
MA0335,PPA032,D357,R005,Low,Not Reimbursed,59,Prior Authorization,9328
MA0336,PPA032,D176,R003,High,Partially Reimbursed,20,None,3590
MA0337,PPA032,D062,R001,Low,Not Reimbursed,76,Step Therapy,7348
MA0338,PPA032,D217,R009,High,Reimbursed,16,None,2117
MA0339,PPA033,D197,R008,Medium,Partially Reimbursed,34,Step Therapy,297
MA0340,PPA033,D180,R007,Medium,Not Reimbursed,38,Prior Authorization,9412
MA0341,PPA033,D220,R009,Medium,Partially Reimbursed,73,None,7817
MA0342,PPA033,D162,R007,High,Reimbursed,14,None,3634
MA0343,PPA033,D072,R004,High,Not Reimbursed,35,None,8309
MA0344,PPA033,D127,R006,Medium,Partially Reimbursed,55,None,8891
MA0345,PPA033,D142,R006,Low,Not Reimbursed,67,Prior Authorization,1394
MA0346,PPA033,D331,R008,Low,Not Reimbursed,59,Step Therapy,6501
MA0347,PPA033,D044,R003,Low,Not Reimbursed,91,Step Therapy,1183
MA0348,PPA033,D128,R001,Medium,Partially Reimbursed,45,None,1512
MA0349,PPA033,D284,R009,Medium,Reimbursed,69,Step Therapy,5167
MA0350,PPA033,D308,R010,Low,Not Reimbursed,97,Prior Authorization,307
MA0351,PPA033,D312,R005,Low,Partially Reimbursed,50,Prior Authorization,5780
MA0352,PPA033,D146,R002,Low,Not Reimbursed,96,Prior Authorization,6192
MA0353,PPA034,D138,R001,Low,Partially Reimbursed,60,Prior Authorization,1785
MA0354,PPA034,D061,R008,Low,Not Reimbursed,57,Prior Authorization,8436
MA0355,PPA034,D016,R006,High,Reimbursed,10,None,7829
MA0356,PPA034,D172,R001,Medium,Partially Reimbursed,39,None,679
MA0357,PPA034,D220,R005,Low,Not Reimbursed,95,Step Therapy,6970
MA0358,PPA034,D140,R004,High,Reimbursed,36,Quantity Limit,5341
MA0359,PPA034,D269,R005,Medium,Not Reimbursed,66,Prior Authorization,8325
MA0360,PPA035,D027,R004,Low,Partially Reimbursed,94,Quantity Limit,5588
