date_id,date,day,month,quarter,year
D303,2026-10-30,30,10,Q4,2026
D304,2026-10-31,31,10,Q4,2026
D305,2026-11-01,1,11,Q4,2026
D306,2026-11-02,2,11,Q4,2026
D307,2026-11-03,3,11,Q4,2026
D308,2026-11-04,4,11,Q4,2026
D309,2026-11-05,5,11,Q4,2026
D310,2026-11-06,6,11,Q4,2026
D311,2026-11-07,7,11,Q4,2026
D312,2026-11-08,8,11,Q4,2026
D313,2026-11-09,9,11,Q4,2026
D314,2026-11-10,10,11,Q4,2026
D315,2026-11-11,11,11,Q4,2026
D316,2026-11-12,12,11,Q4,2026
D317,2026-11-13,13,11,Q4,2026
D318,2026-11-14,14,11,Q4,2026
D319,2026-11-15,15,11,Q4,2026
D320,2026-11-16,16,11,Q4,2026
D321,2026-11-17,17,11,Q4,2026
D322,2026-11-18,18,11,Q4,2026
D323,2026-11-19,19,11,Q4,2026
D324,2026-11-20,20,11,Q4,2026
D325,2026-11-21,21,11,Q4,2026
D326,2026-11-22,22,11,Q4,2026
D327,2026-11-23,23,11,Q4,2026
D328,2026-11-24,24,11,Q4,2026
D329,2026-11-25,25,11,Q4,2026
D330,2026-11-26,26,11,Q4,2026
D331,2026-11-27,27,11,Q4,2026
D332,2026-11-28,28,11,Q4,2026
D333,2026-11-29,29,11,Q4,2026
D334,2026-11-30,30,11,Q4,2026
D335,2026-12-01,1,12,Q4,2026
D336,2026-12-02,2,12,Q4,2026
D337,2026-12-03,3,12,Q4,2026
D338,2026-12-04,4,12,Q4,2026
D339,2026-12-05,5,12,Q4,2026
D340,2026-12-06,6,12,Q4,2026
D341,2026-12-07,7,12,Q4,2026
D342,2026-12-08,8,12,Q4,2026
D343,2026-12-09,9,12,Q4,2026
D344,2026-12-10,10,12,Q4,2026
D345,2026-12-11,11,12,Q4,2026
D346,2026-12-12,12,12,Q4,2026
D347,2026-12-13,13,12,Q4,2026
D348,2026-12-14,14,12,Q4,2026
D349,2026-12-15,15,12,Q4,2026
D350,2026-12-16,16,12,Q4,2026
D351,2026-12-17,17,12,Q4,2026
D352,2026-12-18,18,12,Q4,2026
D353,2026-12-19,19,12,Q4,2026
D354,2026-12-20,20,12,Q4,2026
D355,2026-12-21,21,12,Q4,2026
D356,2026-12-22,22,12,Q4,2026
D357,2026-12-23,23,12,Q4,2026
D358,2026-12-24,24,12,Q4,2026
D359,2026-12-25,25,12,Q4,2026
D360,2026-12-26,26,12,Q4,2026
D361,2026-12-27,27,12,Q4,2026
D362,2026-12-28,28,12,Q4,2026
D363,2026-12-29,29,12,Q4,2026
D364,2026-12-30,30,12,Q4,2026
D365,2026-12-31,31,12,Q4,2026
